rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category
540516,291235,mobile,ended,-11.0,,,0- No delay
540843,249877,mobile,ended,-112.0,,,0- No delay
518497,348178,mobile,ended,-3.0,,,0- No delay
516831,340980,mobile,ended,-78.0,,,0- No delay
515855,400293,mobile,ended,-83.0,540635.0,570.0,0- No delay
541066,356317,mobile,ended,-71.0,,,0- No delay
513982,166540,connect,ended,-21.0,,,0- No delay
541472,245617,mobile,ended,-68.0,,,0- No delay
512400,385391,connect,ended,-120.0,,,0- No delay
568841,284219,mobile,ended,-73.0,,,0- No delay
568794,406784,mobile,ended,-95.0,,,0- No delay
540541,349667,mobile,ended,-126.0,,,0- No delay
532230,400976,mobile,ended,-37.0,,,0- No delay
532543,397470,mobile,ended,-5.0,537576.0,150.0,0- No delay
520727,404203,mobile,ended,-39.0,,,0- No delay
565955,342710,connect,ended,-84.0,,,0- No delay
566085,341965,mobile,ended,-37.0,,,0- No delay
566170,245154,connect,ended,-2.0,,,0- No delay
516858,328135,connect,ended,-6.0,,,0- No delay
515743,405347,mobile,ended,-125.0,,,0- No delay
566446,309027,connect,ended,-79.0,,,0- No delay
566721,358567,connect,ended,-40.0,,,0- No delay
512729,224111,mobile,ended,-49.0,,,0- No delay
566983,339591,mobile,ended,-50.0,,,0- No delay
568441,372468,mobile,ended,-38.0,,,0- No delay
505107,359730,mobile,ended,-35.0,,,0- No delay
568444,353425,connect,ended,-27.0,557068.0,90.0,0- No delay
568727,388396,mobile,ended,-71.0,,,0- No delay
568771,374741,connect,ended,-140.0,,,0- No delay
568830,369757,mobile,ended,-109.0,,,0- No delay
569537,370648,mobile,ended,-185.0,,,0- No delay
569597,371726,mobile,ended,-85.0,,,0- No delay
533710,407368,mobile,ended,-33.0,,,0- No delay
570566,296967,connect,ended,-21.0,,,0- No delay
570659,371387,mobile,ended,-142.0,,,0- No delay
533299,371841,mobile,ended,-121.0,,,0- No delay
570888,265239,connect,ended,-21.0,551401.0,270.0,0- No delay
571020,394003,mobile,ended,-131.0,,,0- No delay
532994,340868,connect,ended,-59.0,,,0- No delay
532889,360418,mobile,ended,-120.0,,,0- No delay
568302,363387,mobile,ended,-56.0,569781.0,450.0,0- No delay
545963,305525,connect,ended,-33.0,549063.0,150.0,0- No delay
558372,163638,mobile,ended,-38.0,,,0- No delay
558379,350769,mobile,ended,-73.0,537483.0,540.0,0- No delay
543630,373994,mobile,ended,-42.0,,,0- No delay
570777,368604,connect,ended,-12.0,527387.0,660.0,0- No delay
543351,367271,mobile,ended,-197.0,,,0- No delay
571391,241021,connect,ended,-28.0,,,0- No delay
571713,311923,connect,ended,-123.0,544337.0,600.0,0- No delay
572276,335341,mobile,ended,-8.0,,,0- No delay
543018,343339,mobile,ended,-57.0,,,0- No delay
542713,263686,mobile,ended,-105.0,,,0- No delay
572690,304847,mobile,ended,-103.0,,,0- No delay
572813,358103,mobile,ended,-54.0,,,0- No delay
574240,334901,mobile,ended,-36.0,,,0- No delay
543748,245379,mobile,ended,-51.0,,,0- No delay
542316,393107,mobile,ended,-110.0,,,0- No delay
541601,334510,mobile,ended,-56.0,,,0- No delay
541591,360474,connect,ended,-77.0,,,0- No delay
541464,358082,connect,ended,-194.0,,,0- No delay
562004,216900,mobile,ended,-74.0,,,0- No delay
562037,350456,mobile,ended,-85.0,,,0- No delay
562102,379885,mobile,ended,-150.0,,,0- No delay
541115,192997,mobile,ended,-3.0,,,0- No delay
562325,347042,connect,ended,-73.0,564123.0,600.0,0- No delay
562455,386843,mobile,ended,-42.0,,,0- No delay
540996,282657,mobile,ended,-14.0,,,0- No delay
562695,357639,mobile,ended,-83.0,,,0- No delay
543839,409292,mobile,ended,-3.0,,,0- No delay
569645,396034,connect,ended,-25.0,551522.0,330.0,0- No delay
574403,355843,mobile,ended,-2.0,,,0- No delay
573073,383443,connect,ended,-44.0,,,0- No delay
553087,301181,mobile,ended,-87.0,,,0- No delay
553201,402567,mobile,ended,-106.0,,,0- No delay
572266,410896,connect,ended,-62.0,,,0- No delay
553298,403227,mobile,ended,-30.0,,,0- No delay
571925,193151,connect,ended,-56.0,,,0- No delay
571591,415629,mobile,ended,-5.0,565345.0,90.0,0- No delay
553420,293785,mobile,ended,-79.0,,,0- No delay
565752,360861,mobile,ended,-38.0,,,0- No delay
566253,358480,mobile,ended,-16.0,,,0- No delay
569296,399441,mobile,ended,-2.0,,,0- No delay
570193,364160,connect,ended,-21.0,,,0- No delay
568839,395700,mobile,ended,-55.0,,,0- No delay
566803,367495,mobile,ended,-50.0,,,0- No delay
566887,412934,mobile,ended,-25.0,,,0- No delay
